YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU,latitude,longitude
Park,Bayraklı,Adalet Mahallesi,Manas Bulvarı No: 78,Adalet Mahallesi Muhtarlığı Yanı Parkı,1640,1.0,1.0,38.45883680640488,27.174510450364483
Park,Bayraklı,75. Yıl Mahallesi,1620/39 Sokak,Bayraklı 75.Yıl Parkı ,2130,,1.0,38.4767620591292,27.16180433881035
Park,Bayraklı,75. Yıl Mahallesi,1620/41 Sokak,Bayraklı 75.Yıl Parkı ,15732,2.0,1.0,37.74271345197507,29.091986497284918
Kıyı Şeridi,Bayraklı,Bayraklı Mahallesi,Sahil Bandı,Bayraklı Sahil Şeridi ,155390,3.0,4.0,40.35955641038639,27.971747859707193
Park,Bayraklı,Emek Mahallesi,Şehit Asteğmen Mesut Uzlu Sokak,EÇEV,4812,,1.0,38.470143134064244,27.12156965881854
Park,Bayraklı,Emek Mahallesi,7261 Sokak,Gümüşpala Öğrenim Birimi ,2114,,1.0,37.74271345197507,29.091986497284918
Park,Bayraklı,Soğukkuyu Mahallesi,Girne Bulvarı /Yeni Girne Kapalı Pazaryeri Yanı,İzzet Erişen Parkı  ,1568,1.0,1.0,,
Rekreasyon Alanı,Bayraklı,Çınarlı Mahallesi,Altınyol,Meles Deltası,147323,,1.0,38.43687350997034,27.164778405888434
Park,Bayraklı,Org. Nafiz Gürman Mahallesi,7171 Sokak,Nafiz Gürman Futbol Sahası Yanı,3450,,,38.483294446479654,27.139474665219982
Park,Bayraklı,Gümüşpala Mahallesi,7000 Sokak,Naldöken Parkı ,8077,1.0,1.0,38.466761884027385,27.139466892324403
Rekreasyon Alanı,Bayraklı,Cengizhan Mahallesi, 1620/39 Sokak,Ord. Prof. Dr. Ekrem Akurgal Yaşam Parkı ,90000,3.0,3.0,38.4767620591292,27.16180433881035
Park,Bayraklı,Org. Nafiz Gürman Mahallesi,7160 Sokak,Org. Nafiz Gürman Mahallesi Parkı,4269,1.0,1.0,38.47827414792493,27.138255622790552
Park,Bayraklı,Yamanlar Mahallesi,7303 Sokak,Petkim Parkı,5283,,1.0,38.47664928400934,27.126067963623484
Park,Bayraklı,Mansuroğlu Mahallesi,283/14 Sokak,Şehit Hakan Ünal Parkı,30549,1.0,1.0,38.45578746482338,27.183251869958283
Park,Bayraklı,Mansuroğlu Mahallesi,Alija İzzet Begoviç Caddesi,Şehit Polis Fethi Sekin Parkı,37505,,2.0,,
Park,Bayraklı,Soğukkuyu Mahallesi,1847 Sokak,Umatem Parkı,6372,,1.0,39.960496548596254,32.7291753897217
Park,Bayraklı,Manavkuyu Mahallesi,249/2 Sokak,Yüzbaşı İbrahim Hakkı Caddesi - Cevizli Park,7854,1.0,1.0,38.46350631698855,27.18925130811241
Park,Bayraklı,Manavkuyu Mahallesi,617 Sokak,Yüzbaşı İbrahim Hakkı Caddesi (Bahar Taksi Durağı Arkası),25603,1.0,1.0,41.05635483211912,28.860280303092328
Park,Bayraklı,Manavkuyu Mahallesi,617/1 Sokak,Yüzbaşı İbrahim Hakkı Caddesi (Opet Yanı),27006,1.0,,39.8528371,32.8553587
Park,Bornova,Erzene Mahallesi,119 Sokak,85. Yıl Anadolu Ajansı Parkı,21895,1.0,1.0,41.10549659012013,28.854219134081877
Rekreasyon Alanı,Bornova,Kızılay Mahallesi,Yüzbaşı İbrahim Hakkı Caddesi,Bornova Aşık Veysel Rekreasyon Alanı,231046,3.0,3.0,38.4697513,27.223318685164834
Meydan,Bornova,Erzene Mahallesi,…………………,Bornova Meydanı,8420,,,,
Park,Bornova,İnönü Mahallesi,Özdar Caddesi 823 Sokak,Cemevi Kültür Merkezi Yanı,2631,,1.0,38.483139229130444,27.21104691851627
Park,Bornova,Çamkule Mahallesi,4713 Sokak,Çamkule Parkı,390,,1.0,36.92448012167799,30.67273731392268
Park,Bornova,Doğanlar Mahallesi,1527 Sokak,Doğanlar Mahallesi Parkı,1093,,1.0,41.04261761643473,28.832465687224975
Rekreasyon Alanı,Bornova,Meriç Mahallesi ,5748 Sokak,Dr. Behçet Uz Rekreasyon Alanı,179999,1.0,2.0,37.75930009948821,30.519944148729355
Park,Bornova,Ergene Mahallesi,456/7 Sokak,Ergene Mahallesi Parkı,2065,1.0,1.0,37.74271345197507,29.091986497284918
Park,Bornova,Erzene Mahallesi,Şehit Taha Canım Sokak ,Evka-3 Parkı (Gürmar Alışveriş Merkezi Yanı),11861,,1.0,,
Park,Bornova,Erzene Mahallesi,108/2 Sokak,Evka-3 Parkı (Migros Alışveriş Merkezi Karşısı),11004,1.0,1.0,40.9981005,28.90661515
Park,Bornova,Evka -4 Mahallesi,1027 Sokak No:24,Evka-4 Spor Salonu Yanı Parkı,30057,,1.0,41.0734063,28.8929305
Rekreasyon Alanı,Bornova,Çamiçi Mahallesi,Çilek Sokak,Homeros Vadisi ,556266,1.0,2.0,39.992104804162715,32.86762927109148
Park,Bornova,Işıklar Mahallesi,6014 Sokak,Işıklar Mahallesi Parkı,485,,1.0,36.82040788426077,34.65084210873602
Park,Bornova,İnönü Mahallesi,756 Sokak,İnönü Mahallesi Parkı,3326,1.0,1.0,41.03747010186279,28.867836709634165
Park,Bornova,İnönü Mahallesi,768 Sokak,İnönü Mahallesi Parkı -1,2450,1.0,1.0,41.03778885,28.866123700000003
Park,Bornova,Atatürk Mahallesi,Barbaros Caddesi 920 Sokak,Macera Park,30000,,3.0,40.98838845953291,39.781548149854196
Park,Bornova,Meriç Mahallesi,5717 Sokak,Meriç Mahallesi Parkı,54501,,1.0,37.764507751504404,30.52111313364087
Park,Bornova,Naldöken Mahallesi,1261 Sokak,Naldöken Mahallesi Parkı,585,,1.0,41.09661462324223,28.909478098747776
Park,Bornova,Ergene Mahallesi,Mustafa Kemal Caddesi,Peterson Parkı,30829,,,40.985553884175204,29.133469908437835
Rekreasyon Alanı,Karşıyaka,Mavişehir Mahallesi,2040 Sokak,Peynircioğlu Deresi,35863,,,41.0907344,28.87971985
Park,Bornova,Rafet Paşa Mahallesi,Yıldırım Beyazıt Caddesi,Şehit Üsteğmen Ömer Bozkurt Parkı,5919,1.0,1.0,40.988149783205735,29.08894311590765
Park,Bornova,Yeşilçam Mahallesi,2004 Sokak,Yeşilçam Parkı,2411,1.0,1.0,41.04159907709521,28.856806213950804
Park,Bornova,Yunus Emre Mahallesi,7550 Sokak,Yunus Emre Mahallesi Parkı,1557,1.0,1.0,38.484467281220745,27.104462048682713
Park,Bornova,Yunus Emre Mahallesi,7520 Sokak,Yunus Emre Muhtarlık Yanı Parkı ,1167,,1.0,38.442192148785686,27.23125117431377
Park,Bornova,Atatürk Mahallesi,916 Sokak,Zümrütevler Parkı,27569,1.0,1.0,41.07745612339394,28.910513564426786
Park,Çiğli,Aydınlıkevler Mahallesi,6792 Sokak,Ahmet Çiftçi Parkı,8337,1.0,1.0,38.4909379495917,27.08166813209515
Park,Çiğli,Ahmet Efendi Mahallesi,1107 Sokak,Ahmet Efendi Parkı ,6587,1.0,1.0,41.07709068341614,28.88839552720951
Park,Çiğli,Evka -2 Mahallesi,6808 Sokak,Ahmet Taner Kışlalı Parkı,21212,1.0,1.0,37.74271345197507,29.091986497284918
Park,Çiğli,Evka-5 Mahallesi,8927 Sokak,Atatürk Parkı,20961,1.0,2.0,38.515091542285774,27.051616596227227
Park,Çiğli,Aydınlıkevler Mahallesi,6793 Sokak,Aydınlıkevler Parkı,19978,1.0,1.0,38.490635281362316,27.08464565635314
Park,Çiğli,Balatçık Mahallesi,8789 Sokak,Balatçık Mahallesi Parkı,4662,,1.0,38.51309881398665,27.042462499141433
Park,Çiğli,Cumhuriyet Mahallesi,Nazmi Kahya Caddesi ,Cumhuriyet Mahallesi Parkı,2855,1.0,1.0,38.53764505683448,27.055627659472872
Park,Çiğli,Atatürk Mahallesi,8841 Sokak,Çifte Havuzlar Parkı,13967,1.0,1.0,38.515769989163815,27.06665718398788
Park,Çiğli,Ahmet Taner Kışlalı Mahallesi,6831 Sokak,Çiğli Kültür Merkezi,10182,1.0,1.0,38.49487507767278,27.07939022755223
Park,Çiğli,Maltepe Mahallesi,Anadolu Caddesi,Çiğli Öğrenim Birimi,10288,,1.0,41.09706975055891,28.97905179578166
Park,Çiğli,Çağdaş Mahallesi,8820/1 Sokak,Dr. Sadık Ahmet Parkı,7145,1.0,1.0,41.05763525099412,28.894167155114413
Park,Çiğli,Egekent Mahallesi,8831 Sokak,Egekent Tören Alanı,54053,1.0,1.0,45.83664725,16.78049915
Park,Çiğli,Ahmet Taner Kışlalı Mahallesi,6767 Sokak,Ensari Bulut Parkı,2307,,1.0,37.74271345197507,29.091986497284918
Park,Çiğli,Evka -2 Mahallesi,6853 Sokak,Evka -2 Semt Merkezi,3516,,,37.74271345197507,29.091986497284918
Park,Çiğli,Evka-5 Mahallesi,8929 Sokak,Evka-5 Parkı,3538,1.0,1.0,37.74271345197507,29.091986497284918
Park,Çiğli,Aydınlıkevler Mahallesi,6784 Sokak,Fakir Baykurt Koruluk Alan,15650,,1.0,38.488534893877336,27.081927033450416
Park,Çiğli,Aydınlıkevler Mahallesi,6790 Sokak,Fakir Baykurt Parkı,6202,1.0,,38.491570109003156,27.081442832837425
Park,Çiğli,Güzeltepe Mahallesi,8424/11 Sokak,Güzeltepe Mesire Alanı,11690,1.0,1.0,37.74271345197507,29.091986497284918
Park,Çiğli,İnönü Mahallesi,9501Sokak,Harmandalı Dere Kenarı Parkı,8395,1.0,1.0,,
Park,Çiğli,İnönü Mahallesi,9221 Sokak,Harmandalı İnönü Mahallesi Parkı -1,6581,1.0,1.0,38.470433813191434,27.096355413166247
Park,Çiğli,Ataşehir Mahallesi,8019/11 Sokak - Nazım Hikmet Ran Bulvarı,Hava Şehitleri Parkı,7529,1.0,1.0,,
Park,Çiğli,Ahmet Taner Kışlalı Mahallesi,6794/1 Sokak,Işılay Saygın Parkı,13967,1.0,1.0,38.49517255146265,27.089512458882428
Park,Çiğli,İnönü Mahallesi,9202 Sokak,İnönü Mahallesi Parkı  (Muhtarlık Yanı),4461,,1.0,37.74271345197507,29.091986497284918
Park,Çiğli,İnönü Mahallesi, 9504 Sokak,Erdal İnönü Parkı,3891,1.0,1.0,38.5891817,27.07810725
Park,Çiğli,Tuzla,Ahmet Piriştina Caddesi,İzmir Doğal Yaşam Parkı,375234,,1.0,40.16703726287204,26.423933337565657
Meydan,Çiğli,Ataşehir Mahallesi,8001/3 Sokak,Kasaplar Meydanı,3850,,,41.05472800142702,28.89341702649812
Park,Çiğli,Harmandalı Gazi  Mustafa Kemal Atatürk Mahallesi,30 Ağustos Caddesi,Kubilay Parkı,8119,,,41.28454371180265,36.30747089614677
Park,Çiğli,Balatçık Mahallesi,8786/24 Sokak,Küçük Çiğli Cemevi Parkı,7324,1.0,1.0,38.50622541968729,27.04498091254975
Park,Çiğli,Evka-2 Mahallesi,6851 Sokak,Milli Piyango Parkı,4645,,,37.74271345197507,29.091986497284918
Park,Çiğli,Evka-2 Mahallesi,6800 Sokak,Sabiha Gökçen Parkı,9875,1.0,1.0,38.498043275384305,27.088011855332674
Park,Çiğli,Ataşehir Mahallesi,8019/21 Sokak,Sarızeybek Parkı (Kipa Arkası),24928,1.0,1.0,38.48417713292924,27.057445541442522
Kent Ormanı,Çiğli,Tuzla Mahallesi,Ahmet Piriştina Caddesi,Sasalı Kent Ormanı ,3134415,1.0,4.0,40.16703726287204,26.423933337565657
Park,Çiğli,Sasalı Merkez Mahallesi,5. Sokak,Sasalı Mesire Alanı,23262,1.0,1.0,40.98470113946174,28.895929430269128
Park,Çiğli,Çağdaş Mahallesi,8818 Sokak,Su İshale Hattı ,46145,1.0,1.0,38.4997145344436,27.06134521638716
Park,Çiğli,Ahmet Taner Kışlalı Mahallesi,6762 Sokak,Şehit Ahmet Ay Parkı,9009,1.0,1.0,38.494712494782966,27.086847986786413
Park,Çiğli,Aydınlıkevler Mahallesi,6796/1 Sokak,Şehit Ersin Temel Parkı,5377,1.0,1.0,41.05763525099412,28.894167155114413
Park,Çiğli,Yeni Mahalle,Anadolu Caddesi,Yeni Mahalle Parkı,12216,,1.0,41.09706975055891,28.97905179578166
Kıyı Şeridi,Karşıyaka,Tuna Mahallesi,Cemal Gürsel Caddesi,Alaybey Sahil Şeridi,32886,1.0,1.0,41.042812338111084,29.073435222080796
Park,Karşıyaka,Yalı Mahallesi,6527 Sokak,Bekir Coşkun Parkı,3298,,,37.74271345197507,29.091986497284918
Kıyı Şeridi,Karşıyaka,Bostanlı Mahallesi,Hasan Ali Yücel Bulvarı,Bostanlı Sahil Şeridi,209163,1.0,3.0,38.456384213601616,27.092797729316516
Park,Karşıyaka,Demirköprü Mahallesi, Bestekar Yusuf Nalkesen Cd,Demirköprü Parkı.,4132,1.0,1.0,38.466122638238836,27.099828172509564
Park,Karşıyaka,Bostanlı Mahallesi,Hasan Ali Yücel Bulvarı -İsmail Sivri Sokak,Hıfzıveldet Velidedeoğlu Parkı ,14898,,1.0,,
Park,Karşıyaka,Bahçelievler Mahallesi,1851 Sokak No:86,İzay Parkı,4550,1.0,2.0,39.96761831858324,32.72568483053711
Park,Karşıyaka,Bahriye Üçok Mahallesi,1732 Sokak,Karşıyaka İzban İstasyonu Üstü,893,,1.0,41.04659177424778,28.845624873809886
Kıyı Şeridi,Karşıyaka,Tuna Mahallesi,Cemal Gürsel Caddesi,Karşıyaka Sahil Şeridi,39470,1.0,2.0,41.042812338111084,29.073435222080796
Park,Karşıyaka,Bostanlı Mahallesi,Hasan Ali Yücel Bulvarı,Kurmay Binbaşı Recep Güngör Parkı,7315,,,38.456384213601616,27.092797729316516
Park,Karşıyaka,Yalı Mahallesi,6523 Sokak,Mavişehir Halk Park,54636,2.0,3.0,38.4777033,27.07850019071158
Park,Karşıyaka,Yalı Mahallesi,6525 Sokak ,Mavişehir Metro İstasyonu Yanı,5836,1.0,1.0,38.47903514649164,27.08529866225131
Park,Karşıyaka,Mavişehir Mahallesi,2040 Sokak,Mavişehir Pompa İstasyon Merkezi Yanı Parkı,16047,,,41.0907344,28.87971985
Park,Karşıyaka,Yalı Mahallesi,Caher Dudayev Bulvarı - 6524 Sokak,Muzeffer İzgü Parkı,14217,,1.0,,
Park,Karşıyaka,Nergis Mahallesi,1671 Sokak,Nergis İzban İstasyonu Üstü,6032,1.0,1.0,41.0493356,28.8381306
Park,Karşıyaka,Atakent Mahallesi,Hasan Ali Yücel Bulvarı,Olof Palme Parkı ,56888,,2.0,38.456384213601616,27.092797729316516
Park,Karşıyaka,Örnekköy Mahallesi,Baş Pehlivan Karaali Caddesi,Örnekköy Mahallesi Parkı,3812,1.0,1.0,,
Park,Karşıyaka,Bahçelievler Mahallesi,Cevdet Bilsay Caddesi,Soğukkuyu Cami Önü Park ,1309,,,38.46575252819593,27.1221597734068
Park,Karşıyaka,Bahçelievler Mahallesi,Yaşar Aksoy Sokak,Soğukkuyu Dere Kenarı,5498,1.0,1.0,38.464737798611736,27.11930625676775
Park,Karşıyaka,Bahçelievler Mahallesi,1851/10 Sokak,Soğukkuyu Yeni Park,1027,,1.0,38.467063540108924,27.120733058454828
Park,Karşıyaka,Alaybey Mahallesi,1671 Sokak,Volkan Vedat Akay Parkı / Alaybey İzban İstasyonu Üstü,3475,1.0,1.0,41.0493356,28.8381306
Park,Karşıyaka,Bahariye Mahallesi,Latife Hanım Sokağı,Yasa Parkı,2141,,,40.99964085,29.0878784
Park,Konak,Cengiz Topel,MTK A Blok,Cengiz Topel Parkı,4294,1.0,1.0,,
Park,Konak,Mersinli Mahallesi,2816 Sokak,Emrah Ortakaya Parkı (2816 Sokak),12253,1.0,1.0,38.43727438988756,27.176776965449182
Park,Menemen,İncirli Pınar Mahallesi,109/2 Sokak,İncirli Pınar Mahallesi Parkı,1761,1.0,1.0,38.58114958996408,27.08080351557284
Park,Menemen,Cumhuriyet Mahallesi,7516/1 Sokak Sevgi Caddesi,Koyundere Cumhuriyet Mahallesi Parkı ,17480,1.0,1.0,,
Park,Menemen,İstiklal Mahallesi,7415 Sokak ,İstiklal Mahallesi Parkı,3301,1.0,1.0,37.74271345197507,29.091986497284918
Park,Menemen,Gölcük Mahallesi,9422 Sokak ,Gölcük Mahallesi Parkı,2251,,,38.58444464908595,27.085368157854557
